x: -0.7499985491162486	y: 1.299038943343702	 E: 20.0
x: -0.7224343899853524	y: 1.0807814543960734	 E: 0.0
x: -0.5130287522557871	y: 1.4095394635691725	 E: 0.0
x: -0.44558010702388856	y: 1.650382681685155	 E: 0.0
x: -0.2604719155835074	y: 1.4772116913943845	 E: 0.0
x: -0.15749355055519743	y: 1.7058872883076477	 E: 0.0
x: 0.034837935430132985	y: 0.32049145761574516	 E: 0.0
x: 0.20726193627989886	y: 50.05	 E: 20.0
x: 0.2604734995933032	y: 1.4772114120902318	 E: 0.0
x: 0.4420107704173909	y: 0.35579714490642955	 E: 0.0
x: 0.5130311766445627	y: 1.4095385811643097	 E: 0.0
x: 0.7180009316690901	y: 0.8485648899178024	 E: 0.0
x: 0.7500010960695672	y: 1.2990374728599814	 E: 0.0
x: -0.964180001495212	y: 1.1490678503537954	 E: 0.0
x: -0.9871109726158355	y: -2.1300529825870496	 E: 0.0
x: -1.1490653626676715	y: 0.9641829662037242	 E: 20.0
x: -1.2086273262955416	y: 1.206832741364905	 E: 0.0
x: 0.9825894404542121	y: 0.5026303131879784	 E: 0.0
x: 0.9641809003173116	y: 1.1490670961537874	 E: 0.0
x: -1.2990370081180354	y: 0.7500019010240866	 E: 0.0
x: -1.4095394635691725	y: -0.5130287522557871	 E: 0.0
x: -1.4095381897512285	y: 0.5130322520396061	 E: 0.0
x: -1.5483031526135027	y: 0.7211312347774789	 E: 0.0
x: 1.2469180844481973	y: 2.375749140347198	 E: 0.0
x: 1.149066349397491	y: 0.9641817902669201	 E: 0.0
x: 1.2990379448877274	y: 0.7500002784945276	 E: 0.0
x: 1.4290231667260271	y: 5.0	 E: 0.0
x: -1.6505098072675024	y: 0.44335179592008345	 E: 0.0
x: -1.4772113621179224	y: 0.2604737829988119	 E: 0.0
x: -1.704227131509687	y: 0.14999969945860409	 E: 0.0
x: -1.49854184506925	y: 1.240965563477091	 E: 0.0
x: 1.409538927274959	y: 0.5130302257143889	 E: 0.0
x: 1.5660092692846548	y: -3.8889918731885116	 E: 0.0
x: 1.6776807874245994	y: 0.9641071758351254	 E: 0.0
x: 1.4772116327258282	y: 0.26047224830966603	 E: 20.0
x: -1.704012619795286	y: 1.8938929869444268	 E: 0.0
x: -1.4711673461778378	y: -3.1769009287035384	 E: 0.0
x: 1.7136430216723866	y: -0.9826585301205474	 E: 0.0
x: 1.5149608941296606	y: -1.277766594652746	 E: 0.0
x: -1.6066719493087918	y: 50.05	 E: 20.0
x: -1.4027493758955893	y: 0.9806699307666344	 E: 0.0
x: 1.701512374886061	y: -0.1458174993066822	 E: 0.0
x: 1.4982566709215848	y: 1.2473654127621427	 E: 0.0
x: -1.5460637583831878	y: 3.8786969500609314	 E: 0.0
x: -1.2954437410614088	y: 1.807256761343763	 E: 0.0
x: 1.654158186034655	y: -0.4385613143103334	 E: 0.0
x: 1.409988680504817	y: -0.986760607676125	 E: 0.0
x: -1.3596621541340088	y: -2.40278279844239	 E: 0.0
x: -1.1236663921776666	y: -0.1061581050628636	 E: 0.0
x: 1.5590199362685717	y: -0.7219551642997288	 E: 0.0
x: 1.3	y: 0.0	 E: 0.0
x: -1.2074462094738232	y: 2.673733963316446	 E: 0.0
x: -0.9469040302677286	y: 0.5082366107650425	 E: 0.0
x: 1.4095381897512285	y: -0.5130322520396061	 E: 0.0
x: 1.183995566981502	y: 50.05	 E: 20.0
x: -0.9763974561236495	y: 1.6767534720854564	 E: 0.0
x: -0.7353116056775352	y: -1.5682869749316115	 E: 0.0
x: 1.2116945644268295	y: -1.2169163223452724	 E: 0.0
x: 0.9786494171964613	y: -1.4079771913635677	 E: 0.0
x: -0.695671925900202	y: -3.9625572623201406	 E: 0.0
x: -0.49986689208012913	y: -0.3837824417422816	 E: 0.0
x: 0.7514133678834737	y: -0.5021191225563636	 E: 0.0
x: 0.9921315016896024	y: 1.7407704288669752	 E: 0.0
x: -0.4250046749804619	y: 3.092421795122098	 E: 0.0
x: -0.2542730240097232	y: -1.2748902812638234	 E: 0.0
x: 0.5144586146191864	y: 0.09640654457897971	 E: 0.0
x: 0.7392790782057144	y: 0.36884559290581576	 E: 0.0
x: -0.15321216038415933	y: 0.5497488795949143	 E: 0.0
x: 0.034837935430132985	y: 0.32049145761574516	 E: 0.0
x: 0.2728210701351715	y: 0.7992624577987997	 E: 0.0
x: 0.14202325300139423	y: -0.5276901833463973	 E: 0.0
x: 0.44199856229628476	y: -1.6652503954779347	 E: 0.0
x: -0.3120381905789133	y: -0.21743590352111278	 E: 0.0
x: -0.490404942792674	y: 50.05	 E: 20.0
x: -0.2542726437033044	y: 1.2748903571147334	 E: 0.0
x: -0.7222755375327486	y: -0.8657112977818942	 E: 0.0
x: -0.5136169195965107	y: 0.9821453719936611	 E: 0.0
x: -0.721608818401071	y: 1.5425604050622186	 E: 0.0
x: -0.9104921357504606	y: -2.6294994042929076	 E: 0.0
x: 0.034837935430132985	y: 0.32049145761574516	 E: 0.0
x: -0.10414206091784646	y: 1.1103154174006866	 E: 0.0
x: 0.10124695248438238	y: 3.2584015517919327	 E: 0.0
x: 0.25427361196236126	y: 1.2748901639983008	 E: 0.0
x: 0.5088846250438044	y: -0.9834594295522884	 E: 0.0
x: 0.3121302427008445	y: -1.9663111432052212	 E: 0.0
x: 0.5089275788319694	y: 0.9391260303149191	 E: 0.0
x: 0.7256525635471431	y: 1.5671592569836013	 E: 0.0
x: 0.9192404122938322	y: 0.9192372187884178	 E: 20.0
x: 0.6395372076842201	y: 3.025450320245187	 E: 20.0
x: -0.8175202141105835	y: 0.2531827858886217	 E: 0.0
x: -1.0645330712159027	y: 0.10468300304384867	 E: 0.0
x: -0.9927478541606715	y: -1.415112808560282	 E: 0.0
x: -1.1880718218652475	y: 50.05	 E: 20.0
x: 1.0807839418764207	y: 0.7224306686333752	 E: 0.0
x: 0.8290029698322644	y: 0.6627289868804636	 E: 20.0
x: -1.2748902812638234	y: 0.2542730240097232	 E: 0.0
x: -1.0050138661595474	y: -1.7355321203675314	 E: 20.0
x: -1.080783275136374	y: 0.7224316661010183	 E: 0.0
x: -1.299038943343702	y: -0.7499985491162486	 E: 0.0
x: 0.9613506857965084	y: -1.7061865358657318	 E: 0.0
x: 1.2008677952948812	y: 0.49791217922803493	 E: 20.0
x: 1.071443741528314	y: -0.13619780996888944	 E: 20.0
x: 1.2748906521460097	y: 0.2542711644499273	 E: 0.0
x: -1.0609430136078517	y: 0.3236576769267923	 E: 0.0
x: -1.2746041087269588	y: -1.5322102207449655	 E: 0.0
x: -1.0485384460507328	y: 50.05	 E: 20.0
x: -1.2008663105051534	y: -0.4979157602383561	 E: 0.0
x: 1.3235289427960168	y: 50.04999999999998	 E: 20.0
x: 1.080783275136374	y: -0.7224316661010183	 E: 0.0
x: 1.1490653626676715	y: -0.9641829662037242	 E: 0.0
x: 1.2843259476238624	y: -2.6205868805538013	 E: 0.0
x: -0.9395356017626705	y: 2.3463020721972967	 E: 0.0
x: -1.0807814543960734	y: -0.7224343899853524	 E: 0.0
x: 1.2116614224369855	y: 1.2106885069835938	 E: 0.0
x: 1.0444621911669876	y: 50.05	 E: 20.0
x: -0.8572450681457575	y: -0.07635120213630826	 E: 0.0
x: -0.9192376482851391	y: -0.919239982798402	 E: 0.0
x: 0.9857893303833397	y: 1.4128189271170262	 E: 0.0
x: 1.1006442244214307	y: 0.081982250007517	 E: 0.0
x: -0.6650512318001507	y: 1.8251997513085827	 E: 0.0
x: -0.7224316661010183	y: -1.080783275136374	 E: 0.0
x: 0.9254155052512034	y: -2.043245875561314	 E: 0.0
x: 0.8363970389736053	y: -0.2779522641556685	 E: 0.0
x: -0.5130322520396061	y: -1.4095381897512285	 E: 0.0
x: -0.49791296092672555	y: -1.200867471181221	 E: 0.0
x: 0.7224343213203094	y: 1.0807815002943304	 E: 0.0
x: 0.7224343899853524	y: -1.0807814543960734	 E: 0.0
x: -0.2377743534497606	y: 0.27942082744588487	 E: 0.0
x: -0.2995891938726615	y: -0.5011037552858072	 E: 0.0
x: 0.4979157602383561	y: -1.2008663105051534	 E: 20.0
x: 0.5130287522557871	y: -1.4095394635691725	 E: 0.0
x: -0.08929938646712848	y: -0.5951134967601033	 E: 0.0
x: 0.034837935430132985	y: 0.32049145761574516	 E: 0.0
x: 0.3467953120944136	y: 50.05	 E: 20.0
x: 0.2604719155835074	y: -1.4772116913943845	 E: 0.0
x: 0.1347914573626481	y: 2.276891551137267	 E: 0.0
x: -0.2685689470978927	y: -2.257644500599026	 E: 0.0
x: -0.6955024067140256	y: -1.8826207571863742	 E: 0.0
x: -1.4136012577129895	y: -0.9934155510234269	 E: 20.0
x: -0.6587805775237288	y: 0.542885874212951	 E: 0.0
x: -0.08106365305143866	y: 0.8316601256520583	 E: 0.0
x: -0.22131874416233221	y: 2.4469098277652757	 E: 0.0
x: -0.4555759277057035	y: -1.66790211585832	 E: 20.0
x: -0.11497840868272771	y: -1.0636496577529344	 E: 0.0
x: 0.4384997479771786	y: 1.6712726151387687	 E: 0.0
x: 0.2447313827868054	y: 0.15926908610375662	 E: 0.0
x: 0.7653954395379581	y: 50.05	 E: 20.0
x: 0.43426460512990883	y: 2.5879877699708524	 E: 0.0
x: 1.0215257373930795	y: 0.290213941340573	 E: 0.0
x: 0.9049288153524728	y: 50.05	 E: 20.0
x: -1.467138573494277	y: 50.05	 E: 20.0
x: -2.0267611140334685	y: 5.0	 E: 0.0
x: -2.6476873664744116	y: 0.7317480597783556	 E: 20.0
